TEMPERATURA,NDVI
15,0.15196
15,0.19735
15,0.20668
15,0.31235
14,0.19688
14,0.21568
13,0.10186
13,0.11346
13,0.11945
13,0.12759
13,0.12893
13,0.12928
13,0.13631
13,0.14685
13,0.14703
13,0.15014
13,0.15261
13,0.15342
13,0.15367
13,0.1568
13,0.15828
13,0.16155
13,0.16198
13,0.1626
13,0.16288
13,0.1654
13,0.16694
13,0.16742
13,0.16804
13,0.16955
13,0.17218
13,0.17484
13,0.18771
13,0.18868
13,0.18953
13,0.18992
13,0.1955
13,0.19597
13,0.19636
13,0.1965
13,0.19898
13,0.20544
13,0.21246
13,0.21517
13,0.21655
13,0.21751
13,0.2222
13,0.22347
13,0.24156
13,0.24193
13,0.25029
13,0.25442
13,0.29057
13,0.29977
12,0.02622
12,0.07222
12,0.0737
12,0.09044
12,0.10061
12,0.10742
12,0.10809
12,0.11002
12,0.11664
12,0.11722
12,0.12192
12,0.1229
12,0.12872
12,0.12912
12,0.13094
12,0.13314
12,0.13505
12,0.13507
12,0.13655
12,0.13748
12,0.13795
12,0.13842
12,0.13962
12,0.13966
12,0.13971
12,0.14111
12,0.14242
12,0.14353
12,0.14487
12,0.14529
12,0.14532
12,0.14559
12,0.14695
12,0.14853
12,0.14907
12,0.14945
12,0.15035
12,0.15077
12,0.15099
12,0.15179
12,0.15241
12,0.15262
12,0.15317
12,0.15325
12,0.1536
12,0.15374
12,0.15376
12,0.15388
12,0.1545
12,0.15474
12,0.1562
12,0.15732
12,0.15734
12,0.15747
12,0.15785
12,0.16082
12,0.16101
12,0.16107
12,0.16156
12,0.16237
12,0.16477
12,0.16483
12,0.16596
12,0.16707
12,0.16745
12,0.16791
12,0.16802
12,0.16844
12,0.16884
12,0.17033
12,0.1723
12,0.1729
12,0.17315
12,0.1748
12,0.17503
12,0.17691
12,0.17761
12,0.17845
12,0.17876
12,0.17944
12,0.18062
12,0.18073
12,0.18162
12,0.18176
12,0.18226
12,0.18278
12,0.18332
12,0.18342
12,0.18357
12,0.18521
12,0.18559
12,0.18656
12,0.18661
12,0.18708
12,0.1878
12,0.18873
12,0.1918
12,0.19222
12,0.19232
12,0.1927
12,0.19295
12,0.19432
12,0.19518
12,0.19746
12,0.19854
12,0.19862
12,0.19869
12,0.20115
12,0.20274
12,0.20375
12,0.2054
12,0.20778
12,0.20831
12,0.21272
12,0.21576
12,0.21588
12,0.21752
12,0.219
12,0.2194
12,0.22238
12,0.22865
12,0.23182
12,0.23313
12,0.23706
12,0.245
12,0.24533
12,0.24906
12,0.25004
12,0.25418
12,0.27117
12,0.27419
12,0.2864
12,0.29022
12,0.29482
12,0.29818
12,0.29998
12,0.30103
12,0.3161
12,0.31845
12,0.32563
12,0.32689
12,0.33066
12,0.35056
12,0.36256
12,0.36954
12,0.37323
11,0.03875
11,0.05124
11,0.05481
11,0.05544
11,0.08933
11,0.0919
11,0.10081
11,0.10574
11,0.11589
11,0.12123
11,0.12158
11,0.12461
11,0.12561
11,0.12861
11,0.12867
11,0.13128
11,0.13152
11,0.13614
11,0.13643
11,0.13695
11,0.13794
11,0.13907
11,0.13993
11,0.14304
11,0.14359
11,0.14473
11,0.1454
11,0.14633
11,0.14661
11,0.14661
11,0.14717
11,0.14766
11,0.1497
11,0.14999
11,0.15209
11,0.15973
11,0.16223
11,0.16433
11,0.16607
11,0.1667
11,0.16768
11,0.16862
11,0.16909
11,0.1735
11,0.17441
11,0.17554
11,0.18038
11,0.18043
11,0.18226
11,0.18251
11,0.1847
11,0.18489
11,0.18548
11,0.18837
11,0.18903
11,0.19159
11,0.19201
11,0.19293
11,0.19378
11,0.19535
11,0.19552
11,0.19813
11,0.19896
11,0.20957
11,0.21281
11,0.21478
11,0.21493
11,0.21575
11,0.21577
11,0.21798
11,0.22268
11,0.22487
11,0.22496
11,0.22854
11,0.2288
11,0.23157
11,0.23376
11,0.23851
11,0.23982
11,0.24582
11,0.24895
11,0.25173
11,0.26291
11,0.26471
11,0.27049
11,0.27534
11,0.28295
11,0.2844
11,0.28507
11,0.29267
11,0.30004
11,0.30752
11,0.3077
11,0.30833
11,0.33488
11,0.34079
11,0.3542
11,0.36999
11,0.377
11,0.39872
11,0.40451
10,0.03487
10,0.04233
10,0.04765
10,0.04927
10,0.06482
10,0.10329
10,0.11306
10,0.11803
10,0.1294
10,0.13198
10,0.13532
10,0.13594
10,0.13924
10,0.14012
10,0.14336
10,0.14658
10,0.14843
10,0.1492
10,0.14962
10,0.15487
10,0.15966
10,0.15973
10,0.16003
10,0.16275
10,0.18045
10,0.20168
10,0.20318
10,0.20868
10,0.2195
10,0.23109
10,0.25541
10,0.25591
10,0.28456
10,0.28652
10,0.2899
10,0.3118
10,0.31629
10,0.33108
10,0.33438
10,0.33817
10,0.33845
10,0.33907
10,0.34258
10,0.34505
10,0.35204
10,0.3523
10,0.35573
10,0.38678
10,0.39798
10,0.40437
10,0.40644
10,0.41413
10,0.41499
10,0.42081
10,0.43672
10,0.44998
10,0.45392
9,0.07274
9,0.08085
9,0.0859
9,0.08831
9,0.09428
9,0.1096
9,0.11215
9,0.11776
9,0.12607
9,0.12716
9,0.12866
9,0.12982
9,0.13025
9,0.13527
9,0.13537
9,0.13573
9,0.14249
9,0.16948
9,0.174
9,0.17904
9,0.18499
9,0.19128
9,0.20131
9,0.21088
9,0.21771
9,0.22785
9,0.24991
9,0.27576
9,0.2956
9,0.29671
9,0.31064
9,0.31167
9,0.36539
9,0.36847
9,0.3926
9,0.39545
9,0.40224
9,0.41337
9,0.43482
9,0.45268
9,0.47272
9,0.47434
8,0.0431
8,0.06171
8,0.09787
8,0.09868
8,0.10219
8,0.10544
8,0.10912
8,0.11632
8,0.11805
8,0.12107
8,0.12128
8,0.12149
8,0.12333
8,0.14133
8,0.14155
8,0.14203
8,0.14219
8,0.14219
8,0.15037
8,0.17249
8,0.17844
8,0.17934
8,0.18084
8,0.19279
8,0.19293
8,0.19516
8,0.20213
8,0.2033
8,0.20875
8,0.21104
8,0.22008
8,0.22228
8,0.22697
8,0.22824
8,0.23819
8,0.24092
8,0.28453
8,0.33191
8,0.35094
8,0.3762
8,0.37685
8,0.38138
8,0.39207
8,0.39313
8,0.39776
8,0.40103
8,0.40984
8,0.41622
8,0.42082
8,0.43288
8,0.44157
8,0.46173
8,0.46672
8,0.46822
8,0.48726
8,0.508
8,0.51062
8,0.5386
7,-0.0732
7,-0.05186
7,0.0348
7,0.04961
7,0.05192
7,0.06662
7,0.09226
7,0.10698
7,0.11294
7,0.14654
7,0.18362
7,0.19084
7,0.19849
7,0.20671
7,0.21613
7,0.27039
7,0.2724
7,0.27674
7,0.29471
7,0.29601
7,0.32746
7,0.34711
7,0.37197
7,0.38103
7,0.38231
7,0.41239
7,0.41971
7,0.43889
7,0.44408
7,0.46206
7,0.46856
7,0.47146
7,0.49081
7,0.54861
6,-0.10185
6,-0.09559
6,-0.09044
6,-0.07985
6,-0.07853
6,-0.06855
6,-0.0673
6,-0.04718
6,-0.04248
6,-0.02701
6,-0.01955
6,-0.01824
6,-0.01402
6,-0.00652
6,-0.00264
6,0.00204
6,0.00405
6,0.01612
6,0.04554
6,0.06191
6,0.07097
6,0.10391
6,0.11382
6,0.11554
6,0.12204
6,0.12589
6,0.16503
6,0.18431
6,0.18868
6,0.20643
6,0.21104
6,0.22026
6,0.22288
6,0.24715
6,0.28135
6,0.28246
6,0.29757
6,0.2989
6,0.30505
6,0.31336
6,0.34995
6,0.3782
6,0.39129
6,0.40875
6,0.41627
6,0.41864
6,0.4248
6,0.42619
6,0.42866
6,0.43374
6,0.43981
6,0.44251
6,0.44686
6,0.45675
6,0.45864
6,0.45955
6,0.46298
6,0.4643
6,0.46793
6,0.46822
6,0.471
6,0.4753
6,0.48322
6,0.48468
5,-0.09459
5,-0.0853
5,-0.07905
5,-0.07632
5,-0.07326
5,-0.07318
5,-0.06854
5,-0.06721
5,-0.0672
5,-0.06605
5,-0.06446
5,-0.06229
5,-0.06182
5,-0.05836
5,-0.05765
5,-0.05603
5,-0.05489
5,-0.05281
5,-0.04172
5,-0.03026
5,-0.02327
5,-0.01155
5,-0.00469
5,0.03479
5,0.0784
5,0.09086
5,0.09803
5,0.0992
5,0.11958
5,0.13865
5,0.15256
5,0.16567
5,0.18727
5,0.24465
5,0.25774
5,0.31237
5,0.33072
5,0.37524
5,0.39664
4,-0.05536
4,0.04044
4,0.0882
4,0.12489
4,0.14695
4,0.15659
4,0.16399
4,0.16571
4,0.17117
4,0.21793
4,0.26934
4,0.27926
3,-0.05889
3,-0.01448
3,0.09043
3,0.09347
3,0.09684
3,0.10648
3,0.11565
3,0.12415
3,0.12741
3,0.16193
3,0.26667
2,0.01546
2,0.12937
2,0.18842
2,0.27892
1,0.12625
